location_name,lat,lon,centreline_id,centreline_type,total_vehicle,total_pedestrian,collision_count,fatal_count,n_schools,n_childcare,n_libraries,n_community_centres,n_emergency_services,ltc_beds_nearby,score_traffic,score_collision,score_impact,score_density,priority_score
Rexdale Blvd / Silver Reign Dr,43.7138358713086,-79.5575695795891,30133578,2,24524,296,0,0,1,1,0,0,0,0,0.33786563047687396,0.0,0.020253164556962026,0.0,0.12230360357829828
Morningside Ave / Morningview Trl / John Stoner Dr,43.8133391204321,-79.2063960902798,13442196,2,24008,555,0,0,2,1,0,0,0,0,0.3305805816704338,0.0,0.03291139240506329,0.0,0.12228548206566447
Finch Ave E / Longmore St,43.7822033384298,-79.4044745051007,13445797,2,25342,327,0,0,0,0,0,0,0,0,0.3490424301899118,0.0,0.0,0.0,0.12216485056646913
Bayview Ave / Country Lane,43.7403597215621,-79.3826531644293,13451853,2,22909,28,0,0,1,2,0,0,0,0,0.31548816624913334,0.0,0.027848101265822784,0.061611374407582936,0.1221516158811195
Evans Ave / Treeview Dr,43.6135254259598,-79.5363520960092,13470100,2,19162,166,1,0,1,1,0,0,0,0,0.26395489822607154,0.03225806451612903,0.020253164556962026,0.14425355450236968,0.12215052532139957
Bathurst St / Cocksfield Ave,43.7567907601564,-79.4387911446041,13449410,2,16463,856,1,0,1,1,0,1,0,0,0.226535487956095,0.03225806451612903,0.05775316455696203,0.20005924170616113,0.12213430044728693
Woodbine Ave / Dixon Ave,43.6704359520716,-79.3064751614111,13463206,2,11067,293,0,0,2,3,0,0,1,0,0.1521995367552045,0.0,0.16476793248945146,0.3588862559241706,0.12211204995462893
Bathurst St / Shallmar Blvd,43.7042736463553,-79.4261500401487,13457559,2,12264,368,1,0,1,1,0,0,0,0,0.16870518140666685,0.03225806451612903,0.020253164556962026,0.477132701421801,0.12210103912655106
Bloor St W / Jopling Ave N / Jopling Ave S,43.640896802606,-79.5395050111262,13468319,2,8114,202,3,1,1,1,0,0,0,0,0.11146578042291612,0.22580645161290322,0.020253164556962026,0.0,0.12209591412392917
Spadina Cres / Ursula Franklin St,43.6598020141212,-79.3999201234389,13465201,2,5225,437,1,0,3,2,1,0,0,350,0.07178229445230586,0.03225806451612903,0.2683295315813147,0.3196090047393365,0.12204093242914879
Dupont St / Dovercourt Rd,43.6696923631308,-79.4327335314876,13463664,2,15126,1014,4,0,1,1,0,0,0,0,0.2080276498717965,0.12903225806451613,0.020253164556962026,0.0,0.12202160068910181
Bloor St W / Clissold Rd,43.6444068415677,-79.524535250139,13467870,2,17812,3205,1,0,0,1,0,0,1,0,0.24531879495741013,0.03225806451612903,0.12426160337552741,0.0,0.12200422149084418
Atlas Ave / Gloucester Grv,43.6966572509812,-79.4377526704671,13458813,2,2803,565,0,0,1,2,0,0,2,0,0.038261072515346675,0.0,0.2611814345991561,0.5634478672985782,0.12197244903006038
Brock Ave / Noble St,43.6423508350718,-79.432684110091,13467968,2,2713,355,1,0,1,1,1,2,0,126,0.037036750519141716,0.03225806451612903,0.19671255541990618,0.583590047393365,0.1219547010856625
Islington Ave / Cordova Ave / Central Park Rdwy / Tom Riley Park Trl,43.6483823099421,-79.5250910252695,13467331,2,17848,1330,1,0,2,3,0,2,0,0,0.2458005889819941,0.03225806451612903,0.1231012658227848,0.0,0.12194078188890006
Bathurst St / Adelaide St W (South),43.6448904361813,-79.4031055655182,13467605,2,17747,1994,3,0,1,0,0,0,0,0,0.2443489479473106,0.0967741935483871,0.012658227848101264,0.0,0.12192474509311445
Jane St: Shoreham Dr - Hullmar Dr,43.77102000000001,-79.520905,439138,1,10635,32,1,0,1,3,0,2,0,0,0.14636745811067906,0.03225806451612903,0.11044303797468354,0.37215639810426543,0.12182318032474607
Laird Dr / Stickney Ave,43.7077158501448,-79.3624350326881,13456859,2,11432,287,0,0,0,2,0,0,1,0,0.15771748212749312,0.0,0.13185654008438819,0.4020734597156398,0.1217797727330642
Queen St E / Greenwood Ave,43.6643730300139,-79.3252962111236,13464286,2,5146,1994,1,0,1,1,0,1,1,0,0.07059163743667053,0.03225806451612903,0.1744198312236287,0.5084123222748815,0.12172259415569374
Dixon Rd / Chetta Pl / Wincott Dr,43.6957963226731,-79.552156495817,13459282,2,14483,724,0,0,2,4,0,2,0,0,0.19934873754393617,0.0,0.13069620253164557,0.2580568720379147,0.12171698585049824
Kipling Ave / Frost St,43.7141511347971,-79.5678810038036,13456250,2,17018,162,1,0,2,0,0,0,1,0,0.23433919547762902,0.03225806451612903,0.1419831223628692,0.0,0.12170566547038915
Finch Ave W / Topcliff Ave,43.7589115887596,-79.5095541971303,13449253,2,18624,459,1,0,1,2,1,1,0,0,0.25669550163027494,0.03225806451612903,0.10284810126582278,0.0,0.12170336840440595
Brunswick Ave / Lowther Ave,43.6680365582472,-79.4083032635947,13463884,2,1534,619,0,0,8,6,1,0,0,130,0.020788297357399576,0.0,0.2503252907537107,0.643542654028436,0.12169522762867559
Danforth Ave / Glebemount Ave,43.6846269910551,-79.3176696249106,13460749,2,7616,1473,1,0,2,2,1,1,0,0,0.10464027942222501,0.03225806451612903,0.11550632911392406,0.5067535545023697,0.1216910416514457
Jane St / Finch Corridor Trl,43.7596006223819,-79.5182679537608,30020928,2,13193,841,1,0,2,3,0,0,0,0,0.1815826312218046,0.03225806451612903,0.04810126582278481,0.37215639810426543,0.12168013648326029
Weston Rd / Mahoney Ave,43.6909872639841,-79.5000946990882,13460019,2,7114,281,4,0,1,1,0,0,0,0,0.09800448090101083,0.12903225806451613,0.020253164556962026,0.3816350710900474,0.12167699865833156
Sheppard Ave W: Banting Ave - Dufferin St,43.750705,-79.46125500000001,60048522,1,19848,1007,0,0,1,0,0,0,1,0,0.2736141092245907,0.0,0.12932489451476792,0.0,0.12162991713156031
The Queensway / Loma Rd,43.6249731134868,-79.5088568874859,13469592,2,18622,165,1,0,0,1,0,0,0,0,0.2567140551557996,0.03225806451612903,0.007594936708860758,0.18951421800947868,0.12161065102789503
